user_from_id,user_to_id,is_like,is_match
1136,3141,False,False
2424,3174,False,False
1300,3590,False,False
800,2736,False,False
883,437,False,False
311,625,False,False
8,1122,False,False
498,470,False,False
826,43,True,False
271,1125,False,False
491,933,False,False
337,196,False,False
422,727,False,False
877,1714,False,False
1311,1330,False,False
661,2390,True,False
590,2677,False,False
3330,2010,False,False
2636,355,False,False
375,1335,False,False
1327,3561,False,False
888,1097,False,False
90,2707,False,False
467,1260,False,False
626,552,False,False
1054,3307,False,False
1659,866,False,False
297,869,False,False
194,2646,False,False
1318,80,False,False
2702,3333,False,False
538,943,False,False
783,3622,False,False
3245,1550,False,False
1534,1826,False,False
83,3019,False,False
28,3305,False,False
1050,3406,False,False
1216,2194,False,False
738,1449,False,False
190,2783,False,False
155,1354,False,False
78,213,False,False
91,1959,False,False
523,23,False,False
1315,1867,False,False
900,667,False,False
374,253,False,False
2949,1339,False,False
2472,3286,True,False
24,3518,False,False
246,1893,False,False
731,167,True,False
1011,451,False,False
1501,3474,False,False
764,451,False,False
1898,2043,True,False
1307,1836,False,False
2743,872,False,False
1973,1582,False,False
659,595,True,
211,1018,False,False
1614,2852,False,False
803,984,False,False
641,192,True,False
2118,1055,False,False
321,3283,False,False
640,946,False,False
69,2929,False,False
1807,2361,False,False
1015,2749,False,False
1705,2760,False,False
1328,3158,False,False
620,2707,False,False
902,393,True,False
2047,1228,True,False
373,717,False,False
2428,1240,True,False
2367,3286,True,False
231,1554,False,False
2699,3378,False,False
654,268,True,False
1580,943,True,False
682,3347,False,False
680,2344,False,False
499,2722,False,False
866,2353,False,False
1450,3210,False,False
2432,3403,False,False
2789,870,False,False
1596,1704,True,False
303,3210,False,False
509,21,False,False
1881,588,True,False
1649,1683,False,False
1786,3454,False,False
509,2196,False,False
1107,1917,False,False
884,1533,False,False
592,2648,False,False
2690,2700,False,False
3222,3378,False,False
25,3305,False,False
588,623,False,False
3377,3047,False,False
641,757,True,False
1797,441,False,False
2472,3454,False,False
168,3499,False,False
565,3144,False,False
419,1854,False,False
602,2726,False,False
3483,1587,False,False
1625,2224,False,False
718,3441,False,False
127,963,False,False
1315,3092,False,False
443,2223,False,False
135,3,False,False
816,2236,True,False
532,3198,False,False
1779,2046,False,False
1746,1745,True,False
296,1734,False,False
784,636,False,False
2346,2611,False,False
1547,2292,False,False
875,3473,False,False
334,2888,False,False
889,653,False,False
2055,2531,False,False
481,604,False,False
405,2109,False,False
685,1432,False,False
847,527,False,False
1563,2027,False,False
2257,1431,False,False
419,1955,False,False
386,2235,False,False
1537,2042,False,False
770,1239,False,False
511,457,False,False
368,2105,False,False
1204,2910,True,False
2118,1379,False,False
1386,1534,True,False
1187,2663,False,False
2391,399,False,False
1343,1853,False,False
296,3438,False,False
761,1470,False,False
1315,781,False,False
1026,1048,False,False
2118,1563,True,False
2191,3324,False,False
2323,1797,True,
390,2105,False,False
261,718,False,False
104,1174,False,False
172,934,False,False
25,1264,True,False
3369,2452,False,False
1958,396,False,False
613,382,False,False
432,255,False,False
1986,697,False,False
680,2121,False,False
1196,3398,True,False
798,1732,False,False
2065,206,False,False
3476,1562,True,False
1124,1156,True,False
3049,1672,False,False
926,1228,False,False
63,2386,False,False
84,2509,False,False
2613,2228,False,False
1667,765,False,False
796,2167,False,False
1106,3180,False,False
355,3598,False,False
987,3222,False,False
1441,1785,True,False
333,2440,False,False
3102,2138,False,False
1580,685,True,
881,2176,False,False
559,1055,False,False
598,3244,False,False
1154,1138,False,False
120,1165,True,False
680,712,False,False
741,2094,False,False
1141,63,False,False
1362,2756,False,False
152,1449,True,False
1143,420,False,False
645,502,False,False
1580,2838,True,False
779,3184,False,False
292,1754,True,False
1499,765,False,False
1697,3367,False,False
1748,3293,False,False
400,1683,False,False
1006,639,False,False
579,3111,False,False
1967,169,False,False
36,58,False,False
1353,2236,False,False
624,611,False,False
1404,2169,True,False
1072,1016,False,False
58,1751,False,False
1654,1678,False,False
1312,1740,False,False
1461,2722,True,
97,91,False,False
92,2069,False,False
378,225,False,False
2163,373,False,False
2283,1434,True,False
839,1125,False,False
1532,1603,False,False
891,2895,False,False
981,2411,False,False
1470,2410,False,False
161,3490,False,False
27,455,False,False
976,1851,True,False
706,751,False,False
2572,2165,False,False
43,625,False,False
1294,1272,False,False
1051,1958,False,False
1057,2993,False,False
32,963,False,False
446,2689,False,False
2780,2898,False,False
1572,1425,True,False
1795,356,True,False
36,1911,False,False
418,1373,False,False
625,1009,False,False
462,326,True,False
1372,2718,False,False
414,2364,False,False
253,1554,False,False
352,3442,False,False
1546,1093,False,False
1,3271,False,False
995,1270,False,False
1333,2531,False,False
508,2889,False,False
919,268,False,False
384,3061,False,False
22,2121,False,False
676,3573,False,False
1116,3293,True,
724,1891,True,False
247,3571,False,False
2072,1601,False,False
687,995,False,False
100,1165,False,False
79,260,False,False
3517,3400,False,False
2758,2993,False,False
1092,3277,False,False
243,2777,False,False
1977,554,False,False
2457,3069,False,False
1603,1343,True,False
1325,731,False,False
644,3032,False,False
672,153,False,False
236,2527,False,False
1479,1354,True,False
1796,3148,False,False
998,663,False,False
51,2213,False,False
1973,815,False,False
680,2784,False,False
805,3092,False,False
183,2226,False,False
1668,765,False,False
1589,2572,True,False
411,2265,False,False
444,1385,False,False
876,1097,False,False
777,3367,True,False
66,933,False,False
1969,1868,False,False
2620,2898,True,False
51,2194,False,False
2466,1268,False,False
721,441,False,False
418,3207,False,False
1086,1668,True,False
1347,2902,False,False
101,835,True,False
730,268,False,False
672,3298,False,False
1864,2784,False,False
1185,1113,False,False
724,3057,True,False
44,890,False,False
1669,975,False,False
2097,799,True,False
1659,113,False,False
1095,686,False,False
2542,634,False,False
261,1678,False,False
1121,1259,True,False
904,684,True,False
1048,3563,True,False
79,1174,True,False
1918,2007,False,False
824,416,False,False
1340,1988,False,False
1050,814,False,False
1451,2210,True,False
26,1045,True,
309,2701,False,False
130,1309,False,False
768,2138,False,False
33,3619,False,False
1128,1146,False,False
245,3522,False,False
966,1865,True,False
2850,3275,False,False
2246,1943,False,False
779,2222,False,False
2568,1864,False,False
838,251,False,False
426,990,False,False
1605,2210,False,False
2175,771,False,False
445,3435,False,False
785,1943,False,False
1571,1618,True,False
3104,3019,False,False
335,2765,False,False
1038,1126,False,False
1406,1547,False,False
737,3232,False,False
332,2007,False,False
1078,2999,False,False
2072,2247,True,False
1322,467,False,False
1062,59,False,False
409,1746,False,False
450,2967,False,False
2372,2264,True,
383,2737,False,False
1015,3591,False,False
28,2772,False,False
461,3148,False,False
1655,2450,False,False
32,156,False,False
1001,3011,False,False
3012,607,True,False
2542,1685,False,False
1,2448,False,False
2010,1572,False,False
924,381,False,False
879,550,False,False
1738,169,False,False
643,1747,False,False
1100,1085,False,False
697,530,False,False
2505,548,False,False
657,407,True,False
1539,3184,False,False
1341,113,False,False
1200,1833,False,False
1318,109,False,False
763,3619,False,False
548,1072,False,False
2226,218,False,False
1753,2623,True,False
334,2116,False,False
1034,2852,False,False
1160,3351,False,False
451,850,False,False
776,445,False,False
705,2058,False,False
449,2256,False,False
676,1584,True,False
773,3409,False,False
1309,1345,False,False
1476,1490,True,
542,70,True,False
256,1427,False,False
1019,3441,False,False
521,2361,False,False
1355,2737,False,False
1532,687,False,False
1579,485,False,False
734,493,False,False
569,2476,False,False
917,1745,True,False
2651,360,True,False
186,416,False,False
3062,2049,False,False
2064,1502,False,False
575,1688,False,False
917,1459,True,False
584,1585,False,False
2921,781,False,False
1625,3162,False,False
527,3373,True,False
1327,1497,False,False
1766,659,False,False
126,3,False,False
1007,806,False,False
450,433,False,False
56,297,False,False
1464,1286,False,False
1769,2739,False,False
812,3367,False,False
1549,501,False,False
253,2134,True,False
982,2224,False,False
573,741,False,False
